Near field
"Phi"[deg]	"MLFMM_Sphere2_Scat_Field [dBV/m]"	"Sphere2_Scat_Field [dBV/m]"	
0.00000000E+00	-2.61166833E+01	-2.56149758E+01	
5.00000000E-01	-2.64505211E+01	-2.60060276E+01	
1.00000000E+00	-2.73095858E+01	-2.68852960E+01	
1.50000000E+00	-2.81897959E+01	-2.73586549E+01	
2.00000000E+00	-2.84400284E+01	-2.70764022E+01	
2.50000000E+00	-2.78999160E+01	-2.67639362E+01	
3.00000000E+00	-2.68019113E+01	-2.66763238E+01	
3.50000000E+00	-2.53074657E+01	-2.59546591E+01	
4.00000000E+00	-2.36606531E+01	-2.41072858E+01	
4.50000000E+00	-2.22077766E+01	-2.21126381E+01	
5.00000000E+00	-2.11949188E+01	-2.07579615E+01	
5.50000000E+00	-2.07203891E+01	-2.02260634E+01	
6.00000000E+00	-2.07928742E+01	-2.04649803E+01	
6.50000000E+00	-2.13943484E+01	-2.13469523E+01	
7.00000000E+00	-2.25343991E+01	-2.27285652E+01	
7.50000000E+00	-2.43122838E+01	-2.45166800E+01	
8.00000000E+00	-2.69113846E+01	-2.65548568E+01	
8.50000000E+00	-2.98379070E+01	-2.77244718E+01	
9.00000000E+00	-2.92440955E+01	-2.62885374E+01	
9.50000000E+00	-2.55477150E+01	-2.37191885E+01	
1.00000000E+01	-2.24000005E+01	-2.16195692E+01	
1.05000000E+01	-2.01433904E+01	-2.01627310E+01	
1.10000000E+01	-1.85333775E+01	-1.90887123E+01	
1.15000000E+01	-1.73744450E+01	-1.81120491E+01	
1.20000000E+01	-1.65614987E+01	-1.71336106E+01	
1.25000000E+01	-1.60703949E+01	-1.62755781E+01	
1.30000000E+01	-1.59300034E+01	-1.57254513E+01	
1.35000000E+01	-1.61732346E+01	-1.56032952E+01	
1.40000000E+01	-1.67430210E+01	-1.59084959E+01	
1.45000000E+01	-1.72865045E+01	-1.64312191E+01	
1.50000000E+01	-1.70167706E+01	-1.65979099E+01	
1.55000000E+01	-1.55311784E+01	-1.57473728E+01	
1.60000000E+01	-1.35075932E+01	-1.40320874E+01	
1.65000000E+01	-1.16547085E+01	-1.21598134E+01	
1.70000000E+01	-1.02393814E+01	-1.05734825E+01	
1.75000000E+01	-9.30571550E+00	-9.42124129E+00	
1.80000000E+01	-8.81995426E+00	-8.72569500E+00	
1.85000000E+01	-8.69643709E+00	-8.44579787E+00	
1.90000000E+01	-8.76279359E+00	-8.45294470E+00	
1.95000000E+01	-8.71809912E+00	-8.46468742E+00	
2.00000000E+01	-8.22605687E+00	-8.07861852E+00	
2.05000000E+01	-7.20582075E+00	-7.10111422E+00	
2.10000000E+01	-5.91222134E+00	-5.77649998E+00	
2.15000000E+01	-4.65495085E+00	-4.47885216E+00	
2.20000000E+01	-3.61501207E+00	-3.42939504E+00	
2.25000000E+01	-2.85605534E+00	-2.69695266E+00	
2.30000000E+01	-2.37291450E+00	-2.26526197E+00	
2.35000000E+01	-2.11709111E+00	-2.07033902E+00	
2.40000000E+01	-2.00402840E+00	-2.01347407E+00	
2.45000000E+01	-1.91939222E+00	-1.97070482E+00	
2.50000000E+01	-1.74292396E+00	-1.81796513E+00	
2.55000000E+01	-1.39431335E+00	-1.47588358E+00	
2.60000000E+01	-8.70215348E-01	-9.44717652E-01	
2.65000000E+01	-2.34246118E-01	-2.93367711E-01	
2.70000000E+01	4.27504825E-01	3.85731205E-01	
